interface,Nom,Signification,Obligatoire,Calculee
Article,titre_article,Titre de l'article,Oui,Non
Article,contenu,"Contenu complet de l'article (texte, images, citations)",Oui,Non
Article,image_couverture,Image de couverture de l'article,Oui,Non
Article,date_publication,Date de publication de l'article,Oui,Non
Article,temps estimant,Temps de lecture estim,Non,Oui
Article,status article,status d article,Oui,Non
Article,Id_article ,un identifiant pour chaque article,Oui,Non
Category,nom_categorie,Nom de la categorie de l'article,Oui,Non
Category,icon_catefory,icon de category,Non,Non
Category,couleur_categorie,couleur de la category,Non,Non
Category,descreption_category,une descreption d une category,Non,Non
Category,Id_category,un identifiant pour chaque category,Oui,Non
user,nom auteur,Nom de famille de l'auteur,Oui,Non
user,prenom auteur,Prenom de l'auteur,Oui,Non
user,photo_auteur,Photo de profil de l'auteur,Non,Non
user,bio_auteur,Presentation / parcours de l'auteur affiche sur la page  pr,Non,Non
user,email admin,Adresse email de connexion l'espace administrateur,Oui,Non
user,mot_de_passe admin,Mot de passe de connexion l'espace administrateur,Oui,Non
user,user creation account ,date de creation de user acc,Oui,Non
user,Id_user,un identifiant pour chaque user,Oui,Non
